,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),Source
82,dfe8eacddacf4c9bba64d6cca5fbb83d,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00702885173956038,,O=[N+]([O-])[O-].[Na+],Solvent,0.01757212934890095,,O,Solvent,0.9753990189115387,,0.85,0.0055,,,10.1016/j.jct.2013.08.018
83,9e68ac1429f646c5a928dde7f8e356ca,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01395958363540153,,O=[N+]([O-])[O-].[Na+],Solvent,0.01744947954425191,,O,Solvent,0.9685909368203466,,0.861,0.0055,,,10.1016/j.jct.2013.08.018
84,5f3372d289da4a4c8d8e797bcdfec674,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,0.854,0.0055,,,10.1016/j.jct.2013.08.018
85,1e41dddf08c7445cb515dd1d57db3d93,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,O=[N+]([O-])[O-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,0.834,0.006,,,10.1016/j.jct.2013.08.018
86,19ea6c3a957542da9ef8493d81696ac9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.007081194832592453,,O=[N+]([O-])[O-].[Na+],Solvent,0.017571203058542068,,O,Solvent,0.9753476021088655,,0.832,0.006,,,10.1016/j.jct.2013.08.018
87,3677d5d7acc14c4ba70f7aa03ba2075a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010558330928958462,,O=[N+]([O-])[O-].[Na+],Solvent,0.017509669865602758,,O,Solvent,0.9719319992054387,,0.826,0.006,,,10.1016/j.jct.2013.08.018
88,d6bafe2542104758b26b5239780c4bac,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014166011115678312,,O=[N+]([O-])[O-].[Na+],Solvent,0.017445826497140778,,O,Solvent,0.968388162387181,,0.816,0.006,,,10.1016/j.jct.2013.08.018
89,23d945aab9e24bc7a99c432706f41f32,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.017405880588782147,,O=[N+]([O-])[O-].[Na+],Solvent,0.017388492096685464,,O,Solvent,0.9652056273145324,,0.81,0.006,,,10.1016/j.jct.2013.08.018
90,3662ed11e9f9435d8871c6faba15332c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02070938768087999,,O=[N+]([O-])[O-].[Na+],Solvent,0.017330031532117148,,O,Solvent,0.9619605807870029,,0.816,0.006,,,10.1016/j.jct.2013.08.018
91,f30496a6bda042e5b0083adb457cdf57,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.024226705528847634,,O=[N+]([O-])[O-].[Na+],Solvent,0.01726778726218648,,O,Solvent,0.9585055072089659,,0.815,0.006,,,10.1016/j.jct.2013.08.018
92,9218458b0a8c486bb531f4ae5ac8abbc,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027668657735994705,,O=[N+]([O-])[O-].[Na+],Solvent,0.017206876701489245,,O,Solvent,0.9551244655625161,,0.805,0.006,,,10.1016/j.jct.2013.08.018
93,01f8a7bed79b466784e2710c68ba8bba,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03082052600929287,,O=[N+]([O-])[O-].[Na+],Solvent,0.017151099615633204,,O,Solvent,0.9520283743750739,,0.817,0.006,,,10.1016/j.jct.2013.08.018
