Mixture,Count
CS(C)=O | O=[N+]([O-])c1ccccc1,16
CCn1cc[n+](C)c1.N#C[S-] | O,54
CCC(=O)OC | BrCCCCBr,18
CN1CCCC1=O | ClCCCl,38
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCOCCO,17
CC(=O)C(C)C | O,47
CCOCCO | CCCCCC,51
CCOCCO | c1ccccc1,36
CC(C)(C)O | COC=O,16
CCCCCCCCCCO | C1CCCCC1,9
CCCOCCC | CCC(C)(C)C,19
Cc1ccccc1O | CCO,4
CCCCCCCCCCCCCCCCC | CCOC(=O)CC,16
ClC(Cl)Cl,13
CN1CCCC1=O | ClCCCCCl,23
CCCCCC | COC(C)(C)C,19
ClCCCCCl | CCCOC(C)=O,13
CCn1cc[n+](C)c1.COP(=O)([O-])OC | O | CO,16
CCCCOP(=O)(OCCCC)OCCCC | CCCCO,21
CCCCOCCCC | C1CCCCC1,38
CCCOC(C)=O | CCCCCCCCCCCCCCC,18
C1CCCC1 | CCCCCCCCCCO,8
C1COCO1 | O=C1CCCCC1,17
C1CCCCC1 | Cc1ccccc1,38
COP(=O)([O-])OC.Cn1cc[n+](C)c1,3
CC(=O)O | CCCOC(C)=O,24
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCO,15
CCCCCCC | CCOC(=O)CC,17
C1COCCO1 | C1CCCCC1,10
CCCO,2
CCCOC(=O)CC | Cc1ccccc1,17
Cn1ccnc1 | CO,10
COc1ccccc1O | CCO,5
CCOC(=O)C(C)C | CCCO,22
CO | O=CO,11
ClCCCCCl | CCCOC(=O)CC,12
CN1CCCC1=O | CCCCCCCCCl,23
CCCCC(=O)OCC | ClCCCl,16
CCCCO | CCN(CC)CC | CCCCCC,113
CCCO | Cc1ccccc1,38
