Mixture,Count
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCO,38
CC(C)(C)O | CCCCOC(=O)CC,31
OC1=NCCC1 | CC(C)O,14
COC(C)=O | CCCCCCCCCCCCCCCCC,19
ClCCCCCCCl | CCCOC(=O)CC,13
CCO | c1ccncc1 | [Cl-].[Na+],12
CCC(C)=O | CCCCNCCCC,9
CCCCCC(C)=O | CCN(CC)CC,9
CCCCCCCCC(C)=O | CCCCCCCCCCCC,59
C1CCOC1 | CCCCCCCCC,11
CS(C)=O | CCCCO,17
O=C=O | CCOC(C)=O,41
CCCc1ccccc1 | Clc1ccccc1,11
COC(C)(C)C | CCC(C)CC,19
CCCOC(C)=O | CCCCCCC,31
CCCCCO | CCCCCCCCC,18
CCn1cc[n+](C)c1.COP(=O)([O-])OC | O,10
Cc1ccccc1Cl | C1COCO1,18
CCN(CC)CCN | C1CCCCC1,6
CCOC(=O)CC(=O)OCC | CCCCCCC,114
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCCO,19
CCOc1ccccc1 | OCc1ccccc1,17
CC#N | CCCCOCCCC,78
COC(=O)CC(C)=O | CCCO,52
CC(=O)CC(C)C | CO,12
CCCCCC | CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
CCC(C)(C)O | CO,10
CCCCOCCCC | C=CCCCC,37
CCCCCCCCCCCCCC,1
CCCOC(=O)CC | CCCCCC | Cc1ccccc1,52
CCOC(C)=O | CCCCCC,90
BrCCBr | CCOC(=O)CC,18
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCCCCCC,25
Cn1ccnc1 | CCO,11
CN1CCOCC1 | CO,10
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,9
CCO | CCCO | C1COCCO1,57
BrCCBr | CCCCOC(C)=O,13
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCCC,19
CCCC(=O)OC | CC(C)(C)O,35
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C | CCCCCCC,1
C1CCOCC1 | C1COCCN1 | C1CCCCC1,24
CC(=O)c1ccccc1 | CCCCO,65
CCOCCO | C1CCCCC1,58
CCn1cc[n+](C)c1.F[B-](F)(F)F | O,18
ClC(Cl)(Cl)Cl | CCCCC,11
CCCCOP(=O)(OCCCC)OCCCC | CCCO,16
CCCCC(=O)OC | BrCCBr,13
O | CCCOC(C)=O,51
CCO | O,56
CCN(CC)CCCN | CCCCCCC,11
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | Cc1ccccc1,14
CCCOC=O | ClCCCl,16
COC(=O)OC | CCCO,72
OCCO | OCc1ccccc1,17
CCCOC(C)=O | C=CCCCC,13
CC(=O)N(C)C | CCCCOCCCC,19
CN1CCCC1=O | ClCCCl,38
OCc1ccccc1 | CO,11
CN(C)C=O | ClCCCCCCCl,23
C1COCO1 | O=C1CCCCC1,17
ClCCCl | CCCOC(C)=O,13
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],7
CC(=O)OC(C)=O,3
Clc1ccccc1Cl | c1ccccc1 | CCCCCCCl,57
CCCc1ccccc1 | ClCCc1ccccc1,16
BrCBr | CC#N,8
CN(C)C=O | ClCCCl,23
CC(=O)OC(C)=O | CC(=O)O,19
C=CCCCC | CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,6
CCCCC#N | ClC(Cl)(Cl)Cl,17
BrCCBr | CCCCOC(=O)CC,13
C1CCOCC1 | Cc1ccc(C)cc1,14
BrCCCCCCBr | CCOC(=O)CC,16
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CO,36
CCCOC(C)=O | CCCCCCCCCCC,18
ClCCCCCl | CCCOC(=O)CCC,12
C1CCCC1 | CCCCO,11
C1COCCO1,12
C1COCCO1 | O=CO | [Cl-].[Na+],11
BrCCCCCCBr | CCCCOC(C)=O,15
COC(C)=O | CCCCCCCCC,19
CN(C)C=O | CCCNCCC,19
C1CCCCC1 | CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,68
CS(C)=O | CCO,17
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCC(C)=O,12
CCCCCCCCCCCC | CCCCC(=O)OCC,17
CCCCC(=O)OC | BrCCCCBr,13
Cc1ccccc1N | c1ccccc1,14
CCCOC(C)=O | C#CCCCC,11
BrCCCBr | CCOC(C)=O,17
CC(=O)CC(C)=O | O,30
O=C=O | CO | CCCCCC,21
OCC(O)CO | O,9
CCCCCCC(C)=O | CCCCCCCCCCCCCC,60
O | CO,416
C1CCCC1 | CCCCCCO,11
O=Cc1ccccc1 | CCO,12
Cc1ccccc1N | Cc1ccc(C)cc1,14
C1COCCN1 | C1COCCO1 | C1CCCCC1,22
CC(=O)N(C)C | CCOC(C)=O,19
