Mixture,Count
COc1ccccc1 | OCCCc1ccccc1,12
CCCC(=O)OC | CCCCCCC,16
CS(C)=O | OCCc1ccccc1,12
CCCOC=O | ClCCCCCCCl,15
CCn1cc[n+](C)c1.F[B-](F)(F)F | c1ccncc1,72
BrCCBr,1
CC(C)OC(C)C,3
CCCC(=O)OC[C@@H]1CO1,1
COC=O | CCCCCC,32
CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,7
CO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12
CCC(=O)CC,4
CCOC(C)=O | CCCCCCC,71
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,48
C[N+](=O)[O-],14
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,18
Cn1ccnc1 | CCO,55
CCCC(C)=O | O,41
BrCCCCBr | CCCCOC(C)=O,13
CCOC(=O)C(C)C | CCO,22
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,8
C1CCOC1 | CCO,11
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6
CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N | O,35
C1CCOCC1 | CCCCCCCO,11
BrCCCCCCBr | CCCCOC(C)=O,14
CCOC(=O)c1ccccc1,2
ClC(Cl)=C(Cl)Cl,2
COC=O | BrCCCBr,13
CCCOC(=O)CC | Cc1ccccc1,17
CC(C)O,13
CCn1cc[n+](C)c1.O=S(=O)([O-])O,7
OCCO,3
ClCCCCCCCl,3
CCCC(=O)OC | BrCCCBr,16
Cc1ccccc1 | CCCCCCC,15
BrCCCCBr | CCCCOC(=O)CCC,13
CCCCC(=O)OCC | BrCCBr,12
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,20
CCCOC=O | ClCCCCCCl,15
CCOC(C)(C)C,3
CCCC(=O)OCC | BrCCBr,13
CCOC=O | ClCCCl,31
COC(=O)OC | CCCCCC,63
CCCNCCC,2
