Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
27b61292f01f498a87194f09d9cc3224,298.15,101.0,Liquid,2,COC=O,Solvent,0.8907,,ClCCCCCl,Solvent,0.10929999999999995,,,,,,0.9947000000000003,0.00016500000000000005,10.1016/j.jct.2006.10.008
9d335619169e4efe8843abc5338c07be,298.15,101.0,Liquid,2,COC=O,Solvent,0.9302,,ClCCCCCl,Solvent,0.06979999999999997,,,,,,0.9851000000000003,0.00017000000000000004,10.1016/j.jct.2006.10.008
9a4cf3bcb0ea4e068fc289855d481cfa,298.15,101.0,Liquid,2,COC=O,Solvent,0.9657,,ClCCCCCl,Solvent,0.0343,,,,,,0.9760700000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
5e8687ecf9f242b8b596407c0d27ec4a,298.15,101.0,Liquid,2,COC=O,Solvent,0.1169,,ClCCCCCCl,Solvent,0.8831,,,,,,1.0864800000000003,0.00024500000000000005,10.1016/j.jct.2006.10.008
c05217d3a33a4798a150c0c6ed95c785,298.15,101.0,Liquid,2,COC=O,Solvent,0.2211,,ClCCCCCCl,Solvent,0.7789,,,,,,1.0778800000000004,0.00024000000000000006,10.1016/j.jct.2006.10.008
bcb8fc70532d43a39c1620e127987bb5,298.15,101.0,Liquid,2,COC=O,Solvent,0.3054,,ClCCCCCCl,Solvent,0.6946,,,,,,1.0701600000000004,0.00023000000000000006,10.1016/j.jct.2006.10.008
fa429ceca2ba44a396552027be469491,298.15,101.0,Liquid,2,COC=O,Solvent,0.3849,,ClCCCCCCl,Solvent,0.6151,,,,,,1.0623200000000002,0.00022500000000000005,10.1016/j.jct.2006.10.008
38026e158bc647118b3a53bd256bbbcf,298.15,101.0,Liquid,2,COC=O,Solvent,0.4622,,ClCCCCCCl,Solvent,0.5378000000000001,,,,,,1.0540000000000003,0.00021500000000000005,10.1016/j.jct.2006.10.008
ea6fb14d44514b1bb96e49dcfe3e9da9,298.15,101.0,Liquid,2,COC=O,Solvent,0.5291,,ClCCCCCCl,Solvent,0.4709,,,,,,1.0462000000000002,0.00020500000000000005,10.1016/j.jct.2006.10.008
fb54638b4fd54f6a945f780f09aa2d32,298.15,101.0,Liquid,2,COC=O,Solvent,0.5925,,ClCCCCCCl,Solvent,0.4075,,,,,,1.0381500000000004,0.00020000000000000006,10.1016/j.jct.2006.10.008
930a0c5219244a36922e9cb3d6e92ccc,298.15,101.0,Liquid,2,COC=O,Solvent,0.6496,,ClCCCCCCl,Solvent,0.35040000000000004,,,,,,1.0303800000000003,0.00019000000000000004,10.1016/j.jct.2006.10.008
60b3125241f04b999497137cba343b0a,298.15,101.0,Liquid,2,COC=O,Solvent,0.7004,,ClCCCCCCl,Solvent,0.2996,,,,,,1.0228700000000002,0.00018500000000000005,10.1016/j.jct.2006.10.008
38ffaf7d76d64af692be293e7b851242,298.15,101.0,Liquid,2,COC=O,Solvent,0.7481,,ClCCCCCCl,Solvent,0.2519,,,,,,1.0154800000000002,0.00017500000000000003,10.1016/j.jct.2006.10.008
85ff365be7ce4dc2abbbee8a1c1b6e5d,298.15,101.0,Liquid,2,COC=O,Solvent,0.792,,ClCCCCCCl,Solvent,0.20799999999999996,,,,,,1.0081800000000003,0.00017000000000000004,10.1016/j.jct.2006.10.008
849a4a8197ad487d918849c93b57cae6,298.15,101.0,Liquid,2,COC=O,Solvent,0.8333,,ClCCCCCCl,Solvent,0.16669999999999996,,,,,,1.0010000000000003,0.00016000000000000004,10.1016/j.jct.2006.10.008
a1ece21f463441bb8cd4459d26270fa9,298.15,101.0,Liquid,2,COC=O,Solvent,0.8711,,ClCCCCCCl,Solvent,0.12890000000000001,,,,,,0.9939200000000002,0.00016500000000000005,10.1016/j.jct.2006.10.008
b373c4e457df449fbf9a52152f7aca29,298.15,101.0,Liquid,2,COC=O,Solvent,0.9066,,ClCCCCCCl,Solvent,0.09340000000000004,,,,,,0.9868800000000002,0.00017000000000000004,10.1016/j.jct.2006.10.008
38d8b437ef5d46f0a8f2f18c176cc47d,298.15,101.0,Liquid,2,COC=O,Solvent,0.94,,ClCCCCCCl,Solvent,0.06000000000000005,,,,,,0.9800500000000002,0.00017500000000000003,10.1016/j.jct.2006.10.008
b3b8fc0b691f46d5aaa7e8caa6853ea4,298.15,101.0,Liquid,2,COC=O,Solvent,0.9705,,ClCCCCCCl,Solvent,0.02949999999999997,,,,,,0.9734500000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
