Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
3cba42015ed547a69c72dfbb70087e1a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403,,O=[N+]([O-])[O-].[Na+],Solvent,0.0176341030970154,,O,Solvent,0.9788390762835814,,0.834,0.006,10.1016/j.jct.2013.08.018
f42d6dd77c904b7fbd3432662cddb4ab,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070811948325924,,O=[N+]([O-])[O-].[Na+],Solvent,0.017571203058542,,O,Solvent,0.9753476021088656,,0.832,0.006,10.1016/j.jct.2013.08.018
324e968a16f0440081f0a498dc037f8b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0105583309289584,,O=[N+]([O-])[O-].[Na+],Solvent,0.0175096698656027,,O,Solvent,0.9719319992054388,,0.826,0.006,10.1016/j.jct.2013.08.018
685264fc04894318add8361e2e49f2e7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0141660111156783,,O=[N+]([O-])[O-].[Na+],Solvent,0.0174458264971407,,O,Solvent,0.968388162387181,,0.816,0.006,10.1016/j.jct.2013.08.018
33e76e4b2e50491ab6ba15a8b5be6eb4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0174058805887821,,O=[N+]([O-])[O-].[Na+],Solvent,0.0173884920966854,,O,Solvent,0.9652056273145324,,0.81,0.006,10.1016/j.jct.2013.08.018
6282982c7b6a465d9f128ce4f91bde93,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0207093876808799,,O=[N+]([O-])[O-].[Na+],Solvent,0.0173300315321171,,O,Solvent,0.9619605807870028,,0.816,0.006,10.1016/j.jct.2013.08.018
e062aaab5ede46418791031994984eac,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0242267055288476,,O=[N+]([O-])[O-].[Na+],Solvent,0.0172677872621864,,O,Solvent,0.958505507208966,,0.815,0.006,10.1016/j.jct.2013.08.018
c1bab6006a844a58a0b494ad13299f5c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0276686577359947,,O=[N+]([O-])[O-].[Na+],Solvent,0.0172068767014892,,O,Solvent,0.955124465562516,,0.805,0.006,10.1016/j.jct.2013.08.018
d0cc483f25b042248404bcd23f785a19,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0308205260092928,,O=[N+]([O-])[O-].[Na+],Solvent,0.0171510996156332,,O,Solvent,0.952028374375074,,0.817,0.006,10.1016/j.jct.2013.08.018
eff194dcbf704508a6bae1db1cd510a5,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0340345955713554,,O=[N+]([O-])[O-].[Na+],Solvent,0.0170942217837043,,O,Solvent,0.9488711826449402,,0.818,0.006,10.1016/j.jct.2013.08.018
889b7f8e41294c72b9e6f1238d9797e2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0370797644038055,,O=[N+]([O-])[O-].[Na+],Solvent,0.0170403329061606,,O,Solvent,0.9458799026900336,,0.806,0.006,10.1016/j.jct.2013.08.018
f54744f968df42a2bdfbade9a077b397,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0440355739362324,,O=[N+]([O-])[O-].[Na+],Solvent,0.0169172393147262,,O,Solvent,0.9390471867490412,,0.817,0.006,10.1016/j.jct.2013.08.018
61054329b470442fb2b65dd6097c90e3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0503971785770769,,O=[N+]([O-])[O-].[Na+],Solvent,0.0168046610793854,,O,Solvent,0.9327981603435376,,0.826,0.006,10.1016/j.jct.2013.08.018
3da1b88628f849ef9c2d4c9b6e5b2bf8,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.0512747768294498,,O,Solvent,0.9487252231705502,,,,,,0.805,0.006,10.1016/j.jct.2013.08.018
296d04046b5e4a419f9dfd04be8ebe87,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876,,O=[N+]([O-])[O-].[Na+],Solvent,0.05110010041314,,O,Solvent,0.9454932262259838,,0.815,0.006,10.1016/j.jct.2013.08.018
78cf6f63ddad4eb5bd38e123fb37aaaa,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0067902146782928,,O=[N+]([O-])[O-].[Na+],Solvent,0.0509266100871963,,O,Solvent,0.9422831752345108,,0.808,0.006,10.1016/j.jct.2013.08.018
2d6b1657f5a64451a0a18257dce7f7a4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0101508587623565,,O=[N+]([O-])[O-].[Na+],Solvent,0.0507542938117827,,O,Solvent,0.9390948474258608,,0.813,0.006,10.1016/j.jct.2013.08.018
